GH Cyg           19 59 10.80  29 27 02.7
V438 Cyg         20 18 54.32  40 03 52.2
VX Cyg           20 57 20.83  40 10 39.1
VZ Cyg           21 51 41.44  43 08 02.5
RS Cas           23 37 16.06  62 25 44.4
RY Cas           23 52 07.03  58 44 30.2
FM Cas           00 14 28.24  56 15 10.6
TU Cas           00 26 19.45  51 16 49.3
DL Cas           00 29 58.59  60 12 43.1
RW Cas           01 37 14.02  57 45 33.2
SW Cas           23 07 10.08  58 33 15.1   
Andromeda CV1    00 41 27.30  41 10 10.4
